elapsed_time_seconds,event_type,event_value,task_phase
19.846067,information_display,counter_starts,current_phase_id
19.851162,information_display,counter_starts,current_phase_id
19.856009,information_display,counter_starts,current_phase_id
19.860915,information_display,counter_starts,current_phase_id
19.865977,information_display,counter_starts,current_phase_id
19.8709,information_display,counter_starts,current_phase_id
19.876227,information_display,counter_starts,current_phase_id
19.881634,information_display,counter_starts,current_phase_id
19.891946,information_display,counter_starts,current_phase_id
19.897096,information_display,counter_starts,current_phase_id
19.902507,information_display,counter_starts,current_phase_id
19.907667,information_display,counter_starts,current_phase_id
19.912842,information_display,counter_starts,current_phase_id
19.91791,information_display,counter_starts,current_phase_id
19.922841,information_display,counter_starts,current_phase_id
19.927882,information_display,counter_starts,current_phase_id
19.932963,information_display,counter_starts,current_phase_id
19.938205,information_display,counter_starts,current_phase_id
19.943353,information_display,counter_starts,current_phase_id
19.948358,information_display,counter_starts,current_phase_id
19.953237,information_display,counter_starts,current_phase_id
19.958299,information_display,counter_starts,current_phase_id
19.963189,information_display,counter_starts,current_phase_id
19.973485,information_display,counter_starts,current_phase_id
19.978571,information_display,counter_starts,current_phase_id
19.983607,information_display,counter_starts,current_phase_id
19.988723,information_display,counter_starts,current_phase_id
19.993687,information_display,counter_starts,current_phase_id
20.004253,information_display,counter_starts,current_phase_id
20.009285,information_display,counter_starts,current_phase_id
20.014282,information_display,counter_starts,current_phase_id
20.019524,information_display,counter_starts,current_phase_id
20.024639,information_display,counter_starts,current_phase_id
20.033483,information_display,counter_starts,current_phase_id
20.038561,information_display,counter_starts,current_phase_id
20.043651,information_display,counter_starts,current_phase_id
20.054936,information_display,counter_starts,current_phase_id
20.060631,information_display,counter_starts,current_phase_id
20.068692,information_display,counter_starts,current_phase_id
20.073685,information_display,counter_starts,current_phase_id
20.078709,information_display,counter_starts,current_phase_id
20.083769,information_display,counter_starts,current_phase_id
20.088769,information_display,counter_starts,current_phase_id
20.097235,information_display,counter_starts,current_phase_id
20.102341,information_display,counter_starts,current_phase_id
20.107326,information_display,counter_starts,current_phase_id
20.112278,information_display,counter_starts,current_phase_id
20.117271,information_display,counter_starts,current_phase_id
20.123879,information_display,counter_starts,current_phase_id
20.129126,information_display,counter_starts,current_phase_id
20.134055,information_display,counter_starts,current_phase_id
20.139219,information_display,counter_starts,current_phase_id
20.144274,information_display,counter_starts,current_phase_id
20.149305,information_display,counter_starts,current_phase_id
20.158838,information_display,counter_starts,current_phase_id
20.163889,information_display,counter_starts,current_phase_id
20.168885,information_display,counter_starts,current_phase_id
20.173791,information_display,counter_starts,current_phase_id
20.17885,information_display,counter_starts,current_phase_id
20.184397,information_display,counter_starts,current_phase_id
20.189804,information_display,counter_starts,current_phase_id
20.194817,information_display,counter_starts,current_phase_id
20.199877,information_display,counter_starts,current_phase_id
20.204862,information_display,counter_starts,current_phase_id
20.209923,information_display,counter_starts,current_phase_id
20.215204,information_display,counter_starts,current_phase_id
20.220513,information_display,counter_starts,current_phase_id
20.225635,information_display,counter_starts,current_phase_id
20.230778,information_display,counter_starts,current_phase_id
20.236307,information_display,counter_starts,current_phase_id
20.241229,information_display,counter_starts,current_phase_id
20.246978,information_display,counter_starts,current_phase_id
20.252323,information_display,counter_starts,current_phase_id
20.257348,information_display,counter_starts,current_phase_id
20.262338,information_display,counter_starts,current_phase_id
20.267295,information_display,counter_starts,current_phase_id
20.272209,information_display,counter_starts,current_phase_id
20.277208,information_display,counter_starts,current_phase_id
20.282656,information_display,counter_starts,current_phase_id
20.287867,information_display,counter_starts,current_phase_id
20.29295,information_display,counter_starts,current_phase_id
20.297894,information_display,counter_starts,current_phase_id
20.303103,information_display,counter_starts,current_phase_id
20.308232,information_display,counter_starts,current_phase_id
20.31363,information_display,counter_starts,current_phase_id
20.320065,information_display,counter_starts,current_phase_id
20.331436,information_display,counter_starts,current_phase_id
20.336458,information_display,counter_starts,current_phase_id
20.344559,information_display,counter_starts,current_phase_id
20.349687,information_display,counter_starts,current_phase_id
20.354773,information_display,counter_starts,current_phase_id
20.359713,information_display,counter_starts,current_phase_id
20.36476,information_display,counter_starts,current_phase_id
20.369734,information_display,counter_starts,current_phase_id
20.375157,information_display,counter_starts,current_phase_id
20.380252,information_display,counter_starts,current_phase_id
20.385364,information_display,counter_starts,current_phase_id
20.390269,information_display,counter_starts,current_phase_id
20.401276,information_display,counter_starts,current_phase_id
20.406622,information_display,counter_starts,current_phase_id
20.411738,information_display,counter_starts,current_phase_id
20.416833,information_display,counter_starts,current_phase_id
20.42175,information_display,counter_starts,current_phase_id
20.426693,information_display,counter_starts,current_phase_id
20.431692,information_display,counter_starts,current_phase_id
20.44386,information_display,counter_starts,current_phase_id
20.449131,information_display,counter_starts,current_phase_id
20.454173,information_display,counter_starts,current_phase_id
20.459118,information_display,counter_starts,current_phase_id
20.464332,information_display,counter_starts,current_phase_id
20.472255,information_display,counter_starts,current_phase_id
20.477439,information_display,counter_starts,current_phase_id
20.482443,information_display,counter_starts,current_phase_id
20.487643,information_display,counter_starts,current_phase_id
20.492522,information_display,counter_starts,current_phase_id
20.498183,information_display,counter_starts,current_phase_id
20.50334,information_display,counter_starts,current_phase_id
20.508411,information_display,counter_starts,current_phase_id
20.513384,information_display,counter_starts,current_phase_id
20.518498,information_display,counter_starts,current_phase_id
20.523594,information_display,counter_starts,current_phase_id
20.530326,information_display,counter_starts,current_phase_id
20.535559,information_display,counter_starts,current_phase_id
20.540701,information_display,counter_starts,current_phase_id
20.545729,information_display,counter_starts,current_phase_id
20.550765,information_display,counter_starts,current_phase_id
20.555786,information_display,counter_starts,current_phase_id
20.563772,information_display,counter_starts,current_phase_id
20.568989,information_display,counter_starts,current_phase_id
20.573941,information_display,counter_starts,current_phase_id
20.579047,information_display,counter_starts,current_phase_id
20.584038,information_display,counter_starts,current_phase_id
20.589162,information_display,counter_starts,current_phase_id
20.59446,information_display,counter_starts,current_phase_id
20.60133,information_display,counter_starts,current_phase_id
20.606541,information_display,counter_starts,current_phase_id
20.611752,information_display,counter_starts,current_phase_id
20.616722,information_display,counter_starts,current_phase_id
20.622728,information_display,counter_starts,current_phase_id
20.627941,information_display,counter_starts,current_phase_id
20.633012,information_display,counter_starts,current_phase_id
20.638604,information_display,counter_starts,current_phase_id
20.643979,information_display,counter_starts,current_phase_id
20.649457,information_display,counter_starts,current_phase_id
20.66076,information_display,counter_starts,current_phase_id
20.672171,information_display,counter_starts,current_phase_id
20.680637,information_display,counter_starts,current_phase_id
20.687118,information_display,counter_starts,current_phase_id
20.69322,information_display,counter_starts,current_phase_id
20.700407,information_display,counter_starts,current_phase_id
20.705577,information_display,counter_starts,current_phase_id
20.710596,information_display,counter_starts,current_phase_id
20.715605,information_display,counter_starts,current_phase_id
20.720932,information_display,counter_starts,current_phase_id
20.726229,information_display,counter_starts,current_phase_id
20.732502,information_display,counter_starts,current_phase_id
20.737462,information_display,counter_starts,current_phase_id
20.742477,information_display,counter_starts,current_phase_id
20.747606,information_display,counter_starts,current_phase_id
20.752914,information_display,counter_starts,current_phase_id
20.757985,information_display,counter_starts,current_phase_id
20.763057,information_display,counter_starts,current_phase_id
20.767947,information_display,counter_starts,current_phase_id
20.772993,information_display,counter_starts,current_phase_id
20.778452,information_display,counter_starts,current_phase_id
20.78363,information_display,counter_starts,current_phase_id
20.788628,information_display,counter_starts,current_phase_id
20.793632,information_display,counter_starts,current_phase_id
20.798526,information_display,counter_starts,current_phase_id
20.803541,information_display,counter_starts,current_phase_id
20.808434,information_display,counter_starts,current_phase_id
20.814111,information_display,counter_starts,current_phase_id
20.819182,information_display,counter_starts,current_phase_id
20.824191,information_display,counter_starts,current_phase_id
20.829069,information_display,counter_starts,current_phase_id
20.833972,information_display,counter_starts,current_phase_id
20.838816,information_display,counter_starts,current_phase_id
